日期,收盘,开盘,高,低,交易量,收盘,涨跌幅
2020年9月28日,209.44,211.06,212.51,208.08,32.00,430125632,0.78
2020年9月25日,207.82,203.55,209.04,202.54,29.44,430125632,2.28
2020年9月24日,203.19,199.35,205.57,199.35,31.20,430125632,1.30
2020年9月23日,200.59,207.55,208.02,200.06,30.80,430125632,-3.29
2020年9月22日,207.42,205.03,208.08,202.12,33.52,430125632,2.41
2020年9月21日,202.54,196.98,202.58,196.43,39.84,430125632,1.07
2020年9月18日,200.39,202.80,203.65,196.25,55.23,430125632,-1.24
2020年9月17日,202.91,200.00,204.28,200.00,34.01,430125632,-1.04
2020年9月16日,205.05,210.06,210.06,204.80,26.37,430125632,-1.79
2020年9月15日,208.78,208.18,209.73,207.00,21.82,430125632,1.64
2020年9月14日,205.41,204.43,209.18,204.04,30.38,430125632,0.68
2020年9月11日,204.03,207.20,208.63,201.24,33.62,430125632,-0.65
2020年9月10日,205.37,213.51,214.65,204.11,35.46,430125632,-2.80
2020年9月9日,211.29,207.90,214.82,206.85,45.68,430125632,4.26
2020年9月8日,202.66,206.46,209.93,202.41,52.92,430125632,-5.41
2020年9月4日,214.25,215.10,218.36,205.19,59.66,430125632,-1.40
2020年9月3日,217.30,229.04,229.31,215.01,58.40,430125632,-6.19
2020年9月2日,231.65,227.72,232.86,227.59,34.08,430125632,1.93
2020年9月1日,227.27,225.51,227.45,224.43,24.85,430125632,0.77
2020年8月31日,225.53,227.00,228.61,224.36,28.77,430125632,-1.48
2020年8月28日,228.91,228.18,230.64,226.58,26.29,430125632,1.03
2020年8月27日,226.58,222.53,231.09,219.42,57.60,430125632,2.46
2020年8月26日,221.15,217.85,222.08,217.40,39.60,430125632,2.16
2020年8月25日,216.47,213.10,216.52,213.10,23.04,430125632,1.30
2020年8月24日,213.69,214.80,215.51,212.49,25.46,430125632,0.31
2020年8月21日,213.02,213.86,216.25,212.85,36.25,430125632,-0.73
2020年8月20日,214.58,209.54,214.99,208.96,26.98,430125632,2.33
2020年8月19日,209.70,211.56,212.09,209.39,27.63,430125632,-0.85
2020年8月18日,211.49,210.63,212.35,209.22,21.34,430125632,0.58
2020年8月17日,210.28,209.68,211.18,208.94,20.18,430125632,0.66
2020年8月14日,208.90,208.76,209.59,207.51,17.96,430125632,0.10
2020年8月13日,208.70,209.57,211.33,208.21,22.59,430125632,-0.23
2020年8月12日,209.19,205.37,210.25,204.82,28.04,430125632,2.86
2020年8月11日,203.38,207.16,207.62,203.14,36.45,430125632,-2.34
2020年8月10日,208.25,211.38,211.38,206.35,36.72,430125632,-1.99
2020年8月7日,212.48,214.85,215.70,210.93,27.82,430125632,-1.79
2020年8月6日,216.35,212.45,216.37,211.61,32.66,430125632,1.60
2020年8月5日,212.94,214.65,214.65,211.57,28.86,430125632,-0.16
2020年8月4日,213.29,214.27,214.76,210.36,49.28,430125632,-1.50
2020年8月3日,216.54,211.69,217.62,210.54,78.98,430125632,5.62
2020年7月31日,205.01,204.40,205.10,199.01,51.25,430125632,0.54
2020年7月30日,203.90,201.07,204.41,199.64,25.08,430125632,-0.08
